impl,dtype,B,H,Hff,L,total_ms,total_std_ms,stage1_ms,stage2_ms,tflops,err_out_rel_l2,err_rel_max_norm,err_max_rel_elem
eager,fp16,1,1024,4096,128,0.04826239980757237,0.0035203816413343133,0.04634240008890629,0.019110400415956973,66.74399708351406,inf,inf,inf
fused_single,fp16,1,1024,4096,128,0.03264639936387539,0.0007738733391419395,0.022249599732458592,0.019072000123560428,98.67016071501045,inf,inf,inf
eager,fp16,2,1024,4096,128,0.05962560027837753,0.0026615446394191904,0.05774080045521259,0.022598399966955184,108.04840393927695,inf,inf,inf
fused_single,fp16,2,1024,4096,128,0.07129599973559379,0.001472771745188537,0.04625599980354309,0.022755200043320656,90.36202546976381,inf,inf,inf
fused_batched,fp16,2,1024,4096,128,0.043299200013279915,0.0006402576671014322,0.025795199908316135,0.022678399831056593,148.78914488083134,inf,inf,inf
fused_broadcast,fp16,2,1024,4096,128,0.04075200036168099,0.0009485834332334116,0.023321599885821342,0.020627199672162533,158.08919529893365,inf,inf,inf
eager,fp16,4,1024,4096,128,0.07590079978108406,0.0008394123687822309,0.07551999911665916,0.027219199948012827,169.75976439198425,inf,inf,inf
fused_single,fp16,4,1024,4096,128,0.1177951991558075,0.0010713971738734191,0.08789440169930458,0.0275391997769475,109.38393058750351,inf,inf,inf
fused_batched,fp16,4,1024,4096,128,0.05584959983825684,0.0009089913484179383,0.03817920051515102,0.02745280023664236,230.70714786346372,inf,inf,inf
fused_broadcast,fp16,4,1024,4096,128,0.04894080050289631,0.0009012165973514013,0.034358400106430056,0.022377599962055683,263.27525818130977,inf,inf,inf
eager,fp16,8,1024,4096,128,0.12257279902696609,0.001791695630957377,0.12132160067558288,0.0407744001597166,210.24080367399156,inf,inf,inf
fused_single,fp16,8,1024,4096,128,0.21317440122365952,0.001167506110079229,0.16471999883651733,0.041088000312447547,120.88601458747709,inf,inf,inf
fused_batched,fp16,8,1024,4096,128,0.09606720060110092,0.0008788780637284089,0.06547519937157631,0.04086720012128353,268.2476809437151,inf,inf,inf
fused_broadcast,fp16,8,1024,4096,128,0.07531839981675148,0.0011311750750458106,0.056787199899554254,0.027267200127243995,342.14486551357356,inf,inf,inf
eager,fp16,16,1024,4096,128,0.21319359987974168,0.001959418371388277,0.2126815989613533,0.0672287993133068,241.75025695458248,inf,inf,inf
fused_single,fp16,16,1024,4096,128,0.4091616004705429,0.0007544086596927024,0.31908159554004667,0.06673599928617477,125.96394063550576,inf,inf,inf
fused_batched,fp16,16,1024,4096,128,0.17746559977531434,0.0008109197233121658,0.1202399991452694,0.06666240021586418,290.4202708426493,inf,inf,inf
fused_broadcast,fp16,16,1024,4096,128,0.13256960213184357,0.000696492514440728,0.10406719967722892,0.035657599568367004,388.77394759578937,inf,inf,inf
eager,fp16,32,1024,4096,128,0.40372479557991026,0.0018123417907020228,0.4024095952510834,0.11880320012569427,255.32049612146565,inf,inf,inf
fused_single,fp16,32,1024,4096,128,0.8031168103218078,0.0015460542350859562,0.633708781003952,0.1186719998717308,128.34896963829746,inf,inf,inf
fused_batched,fp16,32,1024,4096,128,0.33575679957866666,0.0009732087573440166,0.22784960120916367,0.11897279992699623,307.00559224221723,inf,inf,inf
fused_broadcast,fp16,32,1024,4096,128,0.2459423989057541,0.0012453122108981572,0.1958079978823662,0.05721920020878315,419.1193367333962,inf,inf,inf
eager,fp16,1,1024,4096,512,0.052259200066328046,0.0010491850272185983,0.05263039954006672,0.021667199954390527,246.55757974952385,inf,inf,inf
fused_single,fp16,1,1024,4096,512,0.04627520032227039,0.001499070673800371,0.03161280024796724,0.022243200056254863,278.44075872749954,inf,inf,inf
eager,fp16,2,1024,4096,512,0.07880320101976394,0.0012315459070376426,0.07834879979491234,0.028323199786245822,327.0146826844877,inf,inf,inf
fused_single,fp16,2,1024,4096,512,0.08986240029335021,0.0016176653856013567,0.059878400340676305,0.02800000011920929,286.7695909732667,inf,inf,inf
fused_batched,fp16,2,1024,4096,512,0.0722463995218277,0.001034838049437864,0.053468800336122516,0.028873599693179132,356.69326010099934,inf,inf,inf
fused_broadcast,fp16,2,1024,4096,512,0.07105920016765595,0.001032871292833755,0.052777599543333054,0.027014400251209734,362.65260114382284,inf,inf,inf
eager,fp16,4,1024,4096,512,0.1282367989420891,0.0013523709181677912,0.1277600035071373,0.03832000084221363,401.90965446100194,inf,inf,inf
fused_single,fp16,4,1024,4096,512,0.1541823998093605,0.0011373682338425774,0.10807039961218834,0.03846079967916012,334.27685401009694,inf,inf,inf
fused_batched,fp16,4,1024,4096,512,0.12496320083737374,0.0006809064857583457,0.09790080115199089,0.038896000012755394,412.43827948255984,inf,inf,inf
fused_broadcast,fp16,4,1024,4096,512,0.12348480075597763,0.0004749841494715068,0.09709120020270348,0.035651200264692304,417.3761243203454,inf,inf,inf
eager,fp16,8,1024,4096,512,0.2341856002807617,0.0012685764249281467,0.23356159925460815,0.06013120003044605,440.16034709401356,inf,inf,inf
fused_single,fp16,8,1024,4096,512,0.2847455978393555,0.0010902033743252506,0.2031487986445427,0.06068159937858582,362.0045959837948,inf,inf,inf
fused_batched,fp16,8,1024,4096,512,0.2318623960018158,0.000656680908252899,0.1839071989059448,0.060684800148010254,444.5706456996707,inf,inf,inf
fused_broadcast,fp16,8,1024,4096,512,0.22905279844999313,0.0016098170968171998,0.18070079982280732,0.05745600014925003,450.02381896898885,inf,inf,inf
eager,fp16,16,1024,4096,512,0.4370848000049591,0.0012156640447292342,0.4362527966499329,0.10840320065617562,471.6668944004938,inf,inf,inf
fused_single,fp16,16,1024,4096,512,0.5633888006210327,0.009989235151707528,0.4207935959100723,0.1123039998114109,365.9256804195401,inf,inf,inf
fused_batched,fp16,16,1024,4096,512,0.4626143962144852,0.0010696592118052577,0.36528000235557556,0.11281920075416565,445.6377317588217,inf,inf,inf
fused_broadcast,fp16,16,1024,4096,512,0.4533472001552582,0.004624277220637772,0.37129919826984403,0.10845759958028793,454.74733303171774,inf,inf,inf
eager,fp16,32,1024,4096,512,0.8609408020973206,0.001614596886858704,0.8591904044151306,0.21311040073633195,478.9142986504568,inf,inf,inf
fused_single,fp16,32,1024,4096,512,1.2622656106948853,0.016449180465240465,0.9135935962200165,0.21956479847431182,326.64825605841935,inf,inf,inf
fused_batched,fp16,32,1024,4096,512,0.9414911925792694,0.001111911003673975,0.7410848021507264,0.2163776010274887,437.9402204352376,inf,inf,inf
fused_broadcast,fp16,32,1024,4096,512,0.9207520067691803,0.0012082358805518218,0.7294080018997192,0.20414719879627227,447.8044656810203,inf,inf,inf
eager,fp16,1,1024,4096,2048,0.1295968011021614,0.0006524062287170431,0.12996160089969636,0.0371712002903223,397.6919732098266,inf,inf,inf
fused_single,fp16,1,1024,4096,2048,0.13402880132198333,0.0007643187976696421,0.10440320000052453,0.03718079999089241,384.5412854822458,inf,inf,inf
eager,fp16,2,1024,4096,2048,0.2432544007897377,0.001397540324084298,0.24257600009441377,0.06235199943184853,423.7506691321847,inf,inf,inf
fused_single,fp16,2,1024,4096,2048,0.283027195930481,0.001255340891727339,0.2061824008822441,0.06303040124475956,364.202509815767,inf,inf,inf
fused_batched,fp16,2,1024,4096,2048,0.2463232010602951,0.0009983668727508064,0.19662079960107803,0.06314879953861237,418.4714012334073,inf,inf,inf
fused_broadcast,fp16,2,1024,4096,2048,0.24081280082464218,0.0009516908502679797,0.1920543983578682,0.05940800048410892,428.0470753673157,inf,inf,inf
eager,fp16,4,1024,4096,2048,0.4437344014644623,0.002025824235812943,0.44172160029411317,0.11108159944415093,464.5987093351624,inf,inf,inf
fused_single,fp16,4,1024,4096,2048,0.5348287999629975,0.0018166646169943596,0.38847040235996244,0.11132159978151321,385.4662094155423,inf,inf,inf
fused_batched,fp16,4,1024,4096,2048,0.4586080014705658,0.0009949504338746498,0.36767359673976896,0.11209280043840408,449.5308183610738,inf,inf,inf
fused_broadcast,fp16,4,1024,4096,2048,0.4711711972951889,0.002287474823118501,0.3739423990249634,0.11075519919395446,437.54463641129934,inf,inf,inf
eager,fp16,8,1024,4096,2048,0.8444671988487243,0.004323549239649064,0.84099839925766,0.20790079981088638,488.25680971163615,inf,inf,inf
fused_single,fp16,8,1024,4096,2048,1.0830687999725341,0.002119504010674949,0.7921439945697785,0.20973120182752608,380.69313826273645,inf,inf,inf
fused_batched,fp16,8,1024,4096,2048,0.9240544021129609,0.001256054440190667,0.7282271981239319,0.2118016004562378,446.2040973704451,inf,inf,inf
fused_broadcast,fp16,8,1024,4096,2048,0.9364544093608856,0.000961759401335856,0.7415072023868561,0.20943360030651093,440.2957114563637,inf,inf,inf
eager,fp16,16,1024,4096,2048,1.5926783800125122,0.0013466032705924998,1.5988959908485412,0.3831840008497238,517.7653763501967,inf,inf,inf
fused_single,fp16,16,1024,4096,2048,2.0041280031204223,0.0032389824998798164,1.4836608052253724,0.39023039638996126,411.46759066688725,inf,inf,inf
fused_batched,fp16,16,1024,4096,2048,1.7705856204032897,0.0007375976916668867,1.3930335998535157,0.39957759380340574,465.74066304919586,inf,inf,inf
fused_broadcast,fp16,16,1024,4096,2048,1.835913598537445,0.0015667411557851376,1.4995328068733216,0.4027232050895691,449.1680444487872,inf,inf,inf
eager,fp16,32,1024,4096,2048,3.22051522731781,0.030778682738061145,3.3167743921279906,0.8013280034065247,512.1129152485281,inf,inf,inf
