impl,dtype,B,H,Hff,L,total_ms,total_std_ms,stage1_ms,stage2_ms,tflops,err_y_max,err_y_mean,err_y_rel_l2,err_out_max,err_out_mean,err_out_rel_l2,tf32,device
eager,fp16,1,1024,4096,128,0.04860480017960071,0.005510930311490489,0.046064000204205514,0.018950399570167066,66.2738136994119,6.60595703125,0.09541501849889755,0.00036075333858641705,inf,inf,inf,False,cuda
fused_single,fp16,1,1024,4096,128,0.032422400265932086,0.0008709905810532826,0.022214400023221968,0.019132800027728082,99.3518507445209,6.60595703125,0.09495483338832855,0.00036046285556724534,inf,inf,inf,False,cuda
eager,fp16,1,1024,4096,512,0.052966400235891345,0.0009034359970359857,0.05215360037982464,0.02136320024728775,243.26557649029868,8.544921875,0.09528161585330963,0.0003602066858359569,inf,inf,inf,False,cuda
fused_single,fp16,1,1024,4096,512,0.045987199619412424,0.000508084602219381,0.03173440005630255,0.022291200049221516,280.1845294915705,8.544921875,0.09480597078800201,0.00035992317201907916,inf,inf,inf,False,cuda
eager,fp16,1,1024,4096,2048,0.12248639985918999,0.0015051740623159596,0.12189119905233384,0.03465920016169548,420.7782056722198,8.51953125,0.09504465758800507,0.0003597812289711488,inf,inf,inf,False,cuda
fused_single,fp16,1,1024,4096,2048,0.12307199984788894,0.00069946126921945,0.09527999982237816,0.034960000216960906,418.7760629200831,8.51953125,0.09456135332584381,0.0003594790115456884,inf,inf,inf,False,cuda
eager,fp16,1,2048,8192,128,0.07345599904656411,0.0013057185131974465,0.07225600108504296,0.029318399913609027,175.4097970927085,17.369140625,0.18999433517456055,0.0003593743254527143,inf,inf,inf,False,cuda
fused_single,fp16,1,2048,8192,128,0.06840640008449554,0.0008677509381125638,0.04596800021827221,0.02850559987127781,188.35813421090097,17.369140625,0.18950778245925903,0.00035927638605910434,inf,inf,inf,False,cuda
eager,fp16,1,2048,8192,512,0.11561599969863892,0.001090821502707578,0.11490880027413368,0.04253760017454624,445.7826571265356,17.3671875,0.18979842960834503,0.00035867860411432575,inf,inf,inf,False,cuda
fused_single,fp16,1,2048,8192,512,0.12556800171732901,0.0011709063796112422,0.09142719954252243,0.043980800360441205,410.45176197056,17.3671875,0.1892954707145691,0.0003585684070237774,inf,inf,inf,False,cuda
eager,fp16,1,2048,8192,2048,0.35653440058231356,0.001370079476903285,0.3556831985712051,0.09689919948577881,578.2287203458898,22.66015625,0.19017909467220306,0.0003591048564546323,inf,inf,inf,False,cuda
fused_single,fp16,1,2048,8192,2048,0.40450880527496336,0.001527641463715143,0.31563839614391326,0.0969823993742466,509.6512795756438,22.66015625,0.18968743085861206,0.0003589960916913236,inf,inf,inf,False,cuda
eager,bf16,1,1024,4096,128,0.04605120010674,0.002271696906137445,0.04516480006277561,0.018799999542534352,69.94878449494621,57.654296875,0.759788990020752,0.0028625417946250235,855.015625,120.98161315917969,0.003296657186848572,False,cuda
fused_single,bf16,1,1024,4096,128,0.032374399900436404,0.000608476532279881,0.022124799713492394,0.019609600119292737,99.49915618224566,57.654296875,0.7567077875137329,0.002860893249097898,855.015625,120.97811126708984,0.003294956232558753,False,cuda
